City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,fukuecho,32.6881,128.8419,22.46,89,100,2.41,JP,1686516288
318,tobelo,1.7284,128.0095,26.46,84,100,0.6,ID,1686516288
319,rancagua,-34.1708,-70.7444,7.92,71,0,2.01,CL,1686516156
320,alibag,18.6411,72.8792,29.04,78,99,8.6,IN,1686516289
321,punta cana,18.5818,-68.4043,30.87,66,20,4.12,DO,1686516178
322,poso,-1.3959,120.7524,25.79,76,95,2.01,ID,1686516289
323,colonia,50.9333,6.95,24.9,42,0,2.57,DE,1686516061
324,dunedin,-45.8742,170.5036,7.11,82,5,0.45,NZ,1686516245
325,yanam,16.7333,82.2167,29.68,60,96,1.95,IN,1686516289
326,shingu,33.7333,135.9833,21.14,98,100,1.79,JP,1686516289
327,stettler,52.3168,-112.7186,25.86,47,75,2.06,CA,1686516289
328,greymouth,-42.4667,171.2,8.2,87,93,1.46,NZ,1686516289
329,arteche,12.2645,125.4048,25.56,90,99,2.56,PH,1686516289
330,marat,25.0701,45.4615,34.15,14,2,3.02,SA,1686516290
331,san carlos,9.6612,-68.5827,29.32,73,56,1.05,VE,1686516290
332,beibei,29.8256,106.4339,25.76,77,100,1.41,CN,1686516290
333,ruteng,-8.6136,120.4721,15.68,92,100,0.78,ID,1686516290
334,kruisfontein,-34.0033,24.7314,12.3,62,98,2.17,ZA,1686516290
335,malango,-2.9627,119.9001,18.66,97,80,0.85,ID,1686516290
336,ansalta,42.6894,46.1178,14.99,89,90,1.47,RU,1686516290
337,paraiso,9.8383,-83.8656,24.48,76,100,1.17,CR,1686516290
338,pesqueria,25.7833,-100.05,32.75,58,40,3.6,MX,1686516290
339,akureyri,65.6835,-18.0878,15.96,33,20,8.23,IS,1686516291
340,gobabis,-22.45,18.9667,13.96,29,5,4.32,NA,1686516291
341,waingapu,-9.6567,120.2641,24.62,88,100,5.35,ID,1686516291
342,santana,-0.0583,-51.1817,29.1,74,75,4.12,BR,1686516291
343,kudahuvadhoo,2.6708,72.8944,28.29,79,48,6.24,MV,1686516291
344,nantucket,41.2835,-70.0995,23.03,81,0,4.12,US,1686516291
345,tibati,6.4667,12.6333,20.47,93,100,1.08,CM,1686516291
346,pierre,44.3683,-100.351,22.7,46,0,1.79,US,1686516291
347,dakhla,23.6848,-15.958,23.01,78,0,7.72,EH,1686516291
348,jincheng,35.5022,112.8328,18.09,70,62,1.14,CN,1686516292
349,goure,13.9835,10.2704,28.64,55,93,2.6,NE,1686516292
350,haifa,32.8156,34.9892,22.32,79,42,0.89,IL,1686516292
351,saudarkrokur,65.7461,-19.6394,11.9,52,5,8.58,IS,1686516292
352,hauterive,46.0901,3.4459,22.42,92,84,0.53,FR,1686516292
353,mar del plata,-38.0023,-57.5575,9.01,59,0,4.63,AR,1686516183
354,puerto quijarro,-17.7833,-57.7667,29.81,49,39,1.47,BO,1686516292
355,santa terezinha,-29.9002,-50.0904,13.32,79,98,5.67,BR,1686516292
356,itaituba,-4.2761,-55.9836,33.09,58,40,5.14,BR,1686516293
357,priozersk,61.0393,30.1291,9.49,88,63,3.09,RU,1686516293
358,chernyshevskiy,63.0128,112.4714,3.42,74,33,3.7,RU,1686516293
359,soio,-6.1349,12.3689,23.56,89,100,3.1,AO,1686516293
360,howrah,22.5892,88.3103,27.0,89,75,0.0,IN,1686516293
361,bathsheba,13.2167,-59.5167,30.34,70,40,6.17,BB,1686516293
